epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mmd_distance,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mmd_distance,val/box_loss,val/cls_loss,val/dfl_loss,val/mmd_distance,lr/pg0,lr/pg1,lr/pg2
36,762.277,1.87186,1.09403,0.93387,18564.4,0.71627,0.55024,0.60804,0.33579,5261.02,1.84609,1.2012,0.97277,0,0.00108938,0.00108938,0.00108938
37,783.31,1.8583,1.08391,0.93156,19048.2,0.7253,0.55833,0.61803,0.34452,4779.72,1.81317,1.14696,0.96838,0,0.00107288,0.00107288,0.00107288
38,804.357,1.87438,1.09319,0.93367,19139.9,0.70447,0.56095,0.61487,0.34083,5010.52,1.82792,1.18754,0.97661,0,0.00105638,0.00105638,0.00105638
39,825.485,1.86645,1.07237,0.92672,19268.6,0.7198,0.56027,0.61917,0.34683,5728.39,1.81042,1.1677,0.96669,0,0.00103987,0.00103987,0.00103987
40,846.554,1.87806,1.08099,0.92563,18648.1,0.7167,0.55753,0.61369,0.34095,5332.99,1.82382,1.16908,0.96897,0,0.00102337,0.00102337,0.00102337
41,867.5,1.85799,1.06848,0.92619,18736.3,0.71508,0.56161,0.61645,0.34309,5388.17,1.82002,1.15921,0.97032,0,0.00100687,0.00100687,0.00100687
42,888.439,1.85114,1.07086,0.9252,17478.5,0.71757,0.55645,0.6141,0.34241,5002.34,1.8247,1.17887,0.96918,0,0.000990365,0.000990365,0.000990365
43,909.332,1.86174,1.07788,0.9293,17583.7,0.72322,0.55592,0.61663,0.34341,5680.78,1.82325,1.15276,0.97114,0,0.000973861,0.000973861,0.000973861
44,930.235,1.84519,1.0646,0.92739,17966.5,0.70437,0.56197,0.60938,0.34034,4551.9,1.83992,1.19651,0.97872,0,0.000957358,0.000957358,0.000957358
45,951.505,1.85759,1.07403,0.92505,17342,0.71189,0.56473,0.6161,0.33737,5210.1,1.84496,1.17749,0.97745,0,0.000940855,0.000940855,0.000940855
46,972.479,1.81216,1.04461,0.92421,16726.1,0.71749,0.56414,0.62157,0.34731,5799.18,1.81051,1.14257,0.96984,0,0.000924352,0.000924352,0.000924352
47,993.621,1.84958,1.05542,0.92281,15886.8,0.72413,0.56741,0.62355,0.34562,5345.64,1.81895,1.16421,0.97243,0,0.000907848,0.000907848,0.000907848
48,1014.53,1.84749,1.04918,0.92637,15589.8,0.72041,0.56549,0.6212,0.34445,5974.24,1.8217,1.14712,0.97132,0,0.000891345,0.000891345,0.000891345
