epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mmd_distance,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mmd_distance,val/box_loss,val/cls_loss,val/dfl_loss,val/mmd_distance,lr/pg0,lr/pg1,lr/pg2
36,797.565,1.87952,1.10523,0.93617,853.533,0.71671,0.55015,0.60769,0.33495,442.42,1.85151,1.22454,0.97545,0,0.00108938,0.00108938,0.00108938
37,819.494,1.86868,1.0997,0.93332,870.08,0.71904,0.56161,0.6158,0.34275,550.159,1.82052,1.16599,0.97286,0,0.00107288,0.00107288,0.00107288
38,841.759,1.89171,1.11,0.93796,867.174,0.7085,0.5605,0.61396,0.33932,380.432,1.83101,1.21699,0.97439,0,0.00105638,0.00105638,0.00105638
39,863.664,1.87609,1.08824,0.9289,752.289,0.72105,0.56194,0.61921,0.34466,346.282,1.82497,1.16078,0.96981,0,0.00103987,0.00103987,0.00103987
40,885.849,1.8874,1.09702,0.92744,863.237,0.72234,0.55542,0.61389,0.33998,406.679,1.83279,1.17152,0.9695,0,0.00102337,0.00102337,0.00102337
41,907.941,1.86806,1.08408,0.92837,3941.67,0.72499,0.55809,0.61599,0.34231,2233.29,1.82618,1.15844,0.96949,0,0.00100687,0.00100687,0.00100687
42,929.963,1.86261,1.08477,0.92805,1450.6,0.7251,0.55049,0.6116,0.34073,425.046,1.82708,1.17522,0.96942,0,0.000990365,0.000990365,0.000990365
43,951.861,1.87502,1.0967,0.9327,762.047,0.71799,0.55671,0.61383,0.34131,383.602,1.83141,1.16858,0.97268,0,0.000973861,0.000973861,0.000973861
44,973.492,1.85877,1.08188,0.93071,732.263,0.71101,0.55891,0.61016,0.34006,409.093,1.83398,1.19098,0.97248,0,0.000957358,0.000957358,0.000957358
45,995.447,1.86667,1.09252,0.92752,790.066,0.72291,0.55569,0.6148,0.33852,418.706,1.84027,1.17442,0.97477,0,0.000940855,0.000940855,0.000940855
46,1017.51,1.83044,1.07021,0.92827,703.656,0.72561,0.55939,0.61917,0.34654,394.071,1.81411,1.16394,0.96894,0,0.000924352,0.000924352,0.000924352
47,1039.38,1.86523,1.07567,0.92612,852.431,0.72662,0.55938,0.61886,0.34235,491.2,1.82978,1.16765,0.97354,0,0.000907848,0.000907848,0.000907848
48,1061.34,1.86673,1.07198,0.93013,1179.18,0.71813,0.56576,0.6198,0.34456,609.784,1.82911,1.15939,0.97336,0,0.000891345,0.000891345,0.000891345
49,1083.39,1.8517,1.07496,0.92611,3621.54,0.7174,0.56052,0.61705,0.34157,1008.18,1.83322,1.20766,0.97615,0,0.000874842,0.000874842,0.000874842
50,1105.29,1.84255,1.07274,0.92569,1370.65,0.72677,0.56282,0.62246,0.346,547.608,1.82197,1.14687,0.97044,0,0.000858338,0.000858338,0.000858338
51,1126.87,1.86173,1.07908,0.9265,1272.98,0.73237,0.55655,0.62042,0.34461,778.247,1.81932,1.1544,0.96978,0,0.000841835,0.000841835,0.000841835
52,1148.49,1.8355,1.06531,0.92615,1118.47,0.72821,0.56442,0.62317,0.34539,619.485,1.82816,1.16031,0.97233,0,0.000825332,0.000825332,0.000825332
