epoch,domain,sample_index,pc1,pc2,pc3
0,source,0,-0.9295340180397034,-0.4165225625038147,-0.012915253639221191
0,source,1,-0.7561638951301575,-0.16387704014778137,-0.05415409803390503
0,source,2,-0.8898124694824219,-0.11248359084129333,-0.30325448513031006
0,source,3,-0.7658902406692505,-0.12739133834838867,-0.2596813440322876
0,source,4,-0.6809052228927612,-0.3771779537200928,0.3785533905029297
0,source,5,-0.8612496256828308,-0.5145947337150574,0.0729406476020813
0,source,6,-1.0459866523742676,-0.5273842215538025,0.10396456718444824
0,source,7,-0.9643527865409851,-0.5405194759368896,0.09155529737472534
0,source,8,-0.9034857749938965,-0.5132268071174622,0.2098596692085266
0,source,9,-1.0116467475891113,-0.4638597369194031,0.10326284170150757
0,source,10,-0.6887447237968445,-0.0949258804321289,-0.08875900506973267
0,source,11,-0.9399016499519348,-0.2175295054912567,-0.23684167861938477
0,source,12,-0.9251366853713989,-0.08908754587173462,-0.37198352813720703
0,source,13,-0.8036960959434509,0.05409051477909088,-0.4590986967086792
0,source,14,-0.7623645663261414,-0.14964500069618225,-0.2776573896408081
0,source,15,-0.7194691300392151,-0.21591022610664368,0.021197021007537842
0,source,16,-0.8764619827270508,-0.3336586356163025,-0.12158375978469849
0,source,17,-0.8516363501548767,-0.09230133891105652,-0.20356011390686035
0,source,18,-0.8945382237434387,-0.18221628665924072,-0.24604463577270508
0,source,19,-0.8020223379135132,-0.11457559466362,-0.1790236234664917
0,source,20,-0.7115012407302856,0.03103652596473694,-0.4683196544647217
0,source,21,-0.45264899730682373,0.05214163661003113,-0.29233884811401367
0,source,22,-0.6553487181663513,-0.15031477808952332,-0.42194461822509766
0,source,23,-0.7966537475585938,-0.16372928023338318,-0.3175969123840332
0,source,24,-0.8164963722229004,-0.19098415970802307,-0.1292872428894043
0,source,25,-0.8326066136360168,-0.3834494352340698,0.1698576807975769
0,source,26,-0.6582761406898499,-0.15863248705863953,-0.23199820518493652
0,source,27,-0.6062444448471069,0.022816941142082214,-0.2938941717147827
0,source,28,-0.626904308795929,-0.2144922912120819,-0.05141955614089966
0,source,29,-0.7558590173721313,-0.11245381832122803,-0.2453153133392334
0,source,30,-0.952688455581665,-0.15588000416755676,-0.2482461929321289
0,source,31,-1.005421757698059,-0.1926792562007904,-0.15760403871536255
0,source,32,-0.8272901773452759,-0.3700087070465088,0.1563408374786377
0,source,33,-0.9659212827682495,-0.5949788689613342,0.33978918194770813
0,source,34,-0.9836968779563904,-0.4285587668418884,0.06114000082015991
0,source,35,-0.9898977875709534,-0.38200777769088745,0.20120304822921753
0,source,36,-0.6478052735328674,-0.08914744853973389,-0.24197542667388916
0,source,37,-0.6658405661582947,-0.2530272603034973,-0.10890930891036987
0,source,38,-0.8140544891357422,-0.2868111729621887,0.030478954315185547
0,source,39,-0.8372706174850464,-0.20553550124168396,-0.09366774559020996
0,source,40,-0.7738606333732605,-0.20968195796012878,-0.021130919456481934
0,source,41,-0.8602501749992371,-0.09607985615730286,-0.23615193367004395
0,source,42,-0.8675622940063477,-0.11149561405181885,-0.23501765727996826
0,source,43,-0.8427742719650269,-0.0585540235042572,-0.15945112705230713
0,source,44,-0.6334080100059509,0.28553590178489685,-0.5812087059020996
0,source,45,-0.8253676891326904,-0.02846813201904297,-0.3869229555130005
0,source,46,-0.7993113994598389,-0.1838805079460144,-0.24800467491149902
0,source,47,-0.8908302783966064,-0.18479332327842712,-0.18172645568847656
0,source,48,-0.8262449502944946,-0.12557196617126465,-0.30508720874786377
0,source,49,-0.6601023077964783,-0.22573944926261902,-0.060382068157196045
0,source,50,-0.27654415369033813,-0.10123535990715027,0.993559718132019
0,source,51,-0.45952308177948,0.16175290942192078,0.8451700210571289
0,source,52,-0.4302137494087219,0.09741920232772827,0.816498875617981
0,source,53,-0.08325784653425217,0.23538155853748322,0.4139338433742523
0,source,54,-0.20999060571193695,-0.027378827333450317,0.770954430103302
0,source,55,-0.2606372833251953,-0.14256322383880615,0.8464689254760742
0,source,56,-0.41840386390686035,-0.15371528267860413,0.9417082071304321
0,source,57,-0.3731955885887146,-0.09871655702590942,0.8198884129524231
0,source,58,-0.4689210057258606,-0.20640799403190613,0.982058048248291
0,source,59,-0.4303020238876343,-0.13386183977127075,0.8161072731018066
0,source,60,-0.3221474289894104,0.29253867268562317,0.4322957992553711
0,source,61,-0.3704252243041992,0.2563515901565552,0.4347155690193176
0,source,62,-0.33236390352249146,0.40113168954849243,0.4454663395881653
0,source,63,-0.373310387134552,0.36220839619636536,0.3683004677295685
0,target,0,1.0841765403747559,-0.426582396030426,-0.37316954135894775
0,target,1,0.8839366436004639,-0.12987491488456726,0.23844653367996216
0,target,2,0.4636116027832031,0.7408430576324463,-0.14268672466278076
0,target,3,0.8640924096107483,0.07398301362991333,-0.07986903190612793
0,target,4,0.5187696814537048,0.8284742832183838,-0.1079971194267273
0,target,5,0.7156964540481567,0.8387119770050049,0.447051465511322
0,target,6,0.21568511426448822,0.9033313989639282,0.04430687427520752
0,target,7,0.3019587993621826,0.6370880007743835,-0.29348278045654297
0,target,8,0.05163775384426117,0.6541593074798584,-0.37924349308013916
0,target,9,0.9575381875038147,-0.10269305109977722,-0.08518153429031372
0,target,10,0.892838180065155,-0.15466943383216858,-0.21831107139587402
0,target,11,0.6348146200180054,0.23714587092399597,0.25203758478164673
0,target,12,0.7981613874435425,0.1818298101425171,-0.3771730661392212
0,target,13,1.1359367370605469,0.44207143783569336,0.1211513876914978
0,target,14,0.8887103199958801,0.45513004064559937,0.32155632972717285
0,target,15,0.7749308943748474,0.8432977795600891,0.14299148321151733
0,target,16,0.5227369070053101,0.805131733417511,0.2619510889053345
0,target,17,0.4210931658744812,0.5329618453979492,-0.1590578556060791
0,target,18,0.3428218960762024,0.4596708416938782,0.019415438175201416
0,target,19,0.5991766452789307,0.07811464369297028,-0.3779488801956177
