epoch,domain,sample_index,pc1,pc2,pc3
0,source,0,0.6824525594711304,0.6426907777786255,-0.1328393816947937
0,source,1,0.6387003064155579,0.0588923916220665,-0.6535096764564514
0,source,2,0.18420270085334778,-0.21011903882026672,-0.9942474961280823
0,source,3,0.7012059092521667,0.33074358105659485,-0.6548201441764832
0,source,4,0.5823965072631836,-0.33858522772789,-0.14060550928115845
0,source,5,0.8105329871177673,-1.3867017030715942,1.5798391103744507
0,source,6,0.44194507598876953,-1.16097092628479,0.3209983706474304
0,source,7,0.5828548073768616,-0.32940059900283813,0.9604581594467163
0,source,8,0.30983594059944153,-0.6196545362472534,0.4880422353744507
0,source,9,0.891264021396637,0.4108324348926544,0.9434679746627808
0,source,10,0.8203179240226746,0.27332931756973267,1.0293439626693726
0,source,11,0.8803747296333313,-0.26150718331336975,1.094372034072876
0,source,12,0.6880602240562439,0.5123575925827026,1.2598767280578613
0,source,13,0.34057480096817017,0.22060063481330872,0.1938912272453308
0,source,14,0.7738313674926758,0.052972689270973206,0.20391905307769775
0,source,15,0.3888447880744934,0.022505030035972595,-0.1862015426158905
0,source,16,0.4487377405166626,-0.06302131712436676,-0.1284807324409485
0,source,17,0.6172935366630554,-0.20269879698753357,0.5138795375823975
0,source,18,0.926295816898346,-0.5871182680130005,0.45887982845306396
0,source,19,0.8229789733886719,-0.3832288682460785,0.06912046670913696
0,source,20,0.9693520069122314,-0.5655779838562012,0.11438685655593872
0,source,21,0.4707183241844177,-1.2941789627075195,-0.07765918970108032
0,source,22,0.9735738635063171,-0.1585727035999298,0.529881477355957
0,source,23,0.5631911158561707,-0.12425518035888672,0.18594998121261597
0,source,24,0.4959059953689575,-0.39000847935676575,-0.22533193230628967
0,source,25,0.6606279611587524,-0.019836798310279846,-0.7058457732200623
0,source,26,0.9050604701042175,0.3263828158378601,-0.20735976099967957
0,source,27,0.6538891792297363,0.007456779479980469,-0.48838233947753906
0,source,28,0.2884426414966583,-0.21262919902801514,-0.8712128400802612
0,source,29,0.8283981084823608,0.1641644537448883,0.22340542078018188
0,source,30,0.4429463744163513,-0.31362074613571167,-0.45329707860946655
0,source,31,1.0030938386917114,-0.806107759475708,0.550749659538269
0,source,32,0.9731685519218445,-0.6561111211776733,0.4618130922317505
0,source,33,0.31597450375556946,-0.5158118009567261,-0.6856555342674255
0,source,34,0.3110506534576416,-0.15334251523017883,-0.4540433883666992
0,source,35,0.3021538257598877,-0.3071586489677429,-0.5558857321739197
0,source,36,0.3962118625640869,-0.6021356582641602,-0.42794930934906006
0,source,37,0.3296828866004944,-0.4091416299343109,-0.7288028597831726
0,source,38,0.3902018666267395,-0.07090474665164948,-0.3812767267227173
0,source,39,0.5313115119934082,-0.3155043423175812,-0.507640540599823
0,source,40,0.8538690805435181,0.303394079208374,0.20525848865509033
0,source,41,0.6669365167617798,0.3020590543746948,0.5304834842681885
0,source,42,0.014114044606685638,0.2682872414588928,0.29401957988739014
0,source,43,0.08956748247146606,0.6528245210647583,0.359592080116272
0,source,44,-0.24315793812274933,0.5580001473426819,0.23428642749786377
0,source,45,-0.06106001138687134,0.5150322318077087,0.4242976903915405
0,source,46,0.01579996943473816,0.4559987485408783,-0.4730021357536316
0,source,47,0.830087423324585,1.0120999813079834,-0.04117119312286377
0,source,48,0.7894900441169739,0.8827352523803711,-0.04319983720779419
0,source,49,-0.22914128005504608,0.5956594944000244,-0.5353378653526306
0,source,50,-0.10563090443611145,0.484395295381546,-0.3538305461406708
0,source,51,0.8067672252655029,0.5062515735626221,-0.15453022718429565
0,source,52,0.7235448360443115,0.5736010074615479,-0.18438506126403809
0,source,53,1.0819075107574463,0.574315071105957,-0.039269328117370605
0,source,54,0.8580220937728882,0.21076136827468872,-0.012210607528686523
0,source,55,0.9530343413352966,0.5162166357040405,0.21200263500213623
0,source,56,1.1468958854675293,0.7906109094619751,0.17826366424560547
0,source,57,0.9924132823944092,0.6806633472442627,-0.060808002948760986
0,source,58,1.059416651725769,0.427886962890625,0.32030993700027466
0,source,59,1.1121128797531128,0.8757596015930176,0.05320310592651367
0,source,60,0.8530810475349426,0.9348655939102173,-0.17207688093185425
0,source,61,0.5075304508209229,0.9072970151901245,-0.13143396377563477
0,source,62,0.17416426539421082,0.4649852216243744,-0.5199088454246521
0,source,63,0.7480863332748413,0.7232258319854736,-0.28301629424095154
0,target,0,-1.0477557182312012,0.015552759170532227,0.12876933813095093
0,target,1,-0.9730560779571533,0.019580215215682983,0.11913824081420898
0,target,2,-0.9722410440444946,-0.07870310544967651,0.09184986352920532
0,target,3,-0.8088153004646301,0.16968396306037903,0.05171018838882446
0,target,4,-0.45176196098327637,-0.19010093808174133,0.22264903783798218
0,target,5,-0.7409559488296509,-0.014443859457969666,0.025213122367858887
0,target,6,-0.9858493804931641,0.040015339851379395,-0.003816664218902588
0,target,7,-0.9627265930175781,0.0393633171916008,-0.04182171821594238
0,target,8,-0.8097079396247864,0.06978287547826767,0.06578928232192993
0,target,9,-0.875072717666626,-0.003913164138793945,0.07660138607025146
0,target,10,-0.6734282374382019,0.047839194536209106,0.14129245281219482
0,target,11,-1.1403552293777466,0.12766173481941223,0.11310696601867676
0,target,12,-1.016784906387329,0.05268312245607376,-0.053874313831329346
0,target,13,-0.9957923889160156,0.07719293236732483,0.02700066566467285
0,target,14,-1.0496324300765991,0.04038500785827637,0.14401042461395264
0,target,15,-0.8438999056816101,0.05787196010351181,0.13299667835235596
0,target,16,-0.8995224237442017,0.06932573020458221,-0.08503532409667969
0,target,17,-0.906813383102417,0.0038221776485443115,-0.028013527393341064
0,target,18,-1.1333718299865723,0.01240663230419159,0.10401171445846558
0,target,19,-0.8903027772903442,0.05802253633737564,0.0612221360206604
0,target,20,-0.8634170293807983,0.13034191727638245,0.04984760284423828
0,target,21,-0.48327481746673584,-0.0143900066614151,0.152782142162323
0,target,22,-1.1238999366760254,0.19345033168792725,0.19286197423934937
0,target,23,-0.9927083253860474,0.15644966065883636,0.17546546459197998
0,target,24,-0.8820762634277344,0.06739416718482971,0.09534633159637451
0,target,25,-0.7122661471366882,-0.043882131576538086,0.09594613313674927
0,target,26,-0.7296279072761536,0.04763558506965637,0.21012729406356812
0,target,27,-0.9695446491241455,-0.013648927211761475,-0.023514926433563232
0,target,28,-0.6762049198150635,-0.22523635625839233,0.306940495967865
0,target,29,-0.7826079726219177,0.1126268208026886,0.08802264928817749
0,target,30,-0.9474115371704102,0.020051196217536926,0.11889046430587769
0,target,31,-0.8232999444007874,-0.03325521945953369,0.06126570701599121
0,target,32,-0.5345393419265747,-0.15274307131767273,0.07907801866531372
0,target,33,-0.6176061630249023,-0.04609262943267822,0.08929747343063354
0,target,34,-0.9094530940055847,-0.0015628933906555176,0.24161595106124878
0,target,35,-0.7445123195648193,-0.1568916141986847,0.1560930609703064
0,target,36,-0.8792001605033875,-0.10030344128608704,0.11287140846252441
0,target,37,-0.6753273010253906,0.14853189885616302,0.18242305517196655
0,target,38,-0.7430366277694702,0.031398847699165344,0.09260207414627075
0,target,39,-0.8718399405479431,-0.0013000965118408203,0.2531951665878296
0,target,40,-0.8496723771095276,-0.03488616645336151,-0.07186740636825562
0,target,41,-1.02777099609375,0.07621639221906662,-0.019650280475616455
0,target,42,-0.9572930335998535,-0.03449271619319916,-0.018790781497955322
0,target,43,-0.9827629327774048,0.02645750343799591,-0.08967763185501099
0,target,44,-0.6961974501609802,0.2266618311405182,0.042947232723236084
0,target,45,-0.9225116968154907,0.1627395749092102,-0.08267605304718018
0,target,46,-0.9352566003799438,0.013620719313621521,0.030572831630706787
0,target,47,-1.0185774564743042,-0.11691677570343018,0.04659914970397949
0,target,48,-0.8924039602279663,0.10706803947687149,-0.08066004514694214
0,target,49,-0.6095871329307556,-0.09418345987796783,0.01279670000076294
0,target,50,0.3375079035758972,-0.4003697335720062,-0.5439863204956055
0,target,51,0.38837456703186035,-0.43961307406425476,-0.48530054092407227
0,target,52,0.4372457265853882,-0.5863631963729858,-0.4549880027770996
0,target,53,0.22641891241073608,-0.3729758560657501,-0.48708200454711914
0,target,54,0.5876390337944031,-0.41821351647377014,-0.1670549511909485
0,target,55,0.42564302682876587,-0.485003799200058,-0.19528648257255554
0,target,56,0.4058818221092224,-0.4151791036128998,-0.2227781116962433
0,target,57,0.38553696870803833,-0.4276352822780609,-0.32097065448760986
0,target,58,0.4937218427658081,-0.3067535161972046,-0.3488248288631439
0,target,59,0.46793806552886963,-0.2976623773574829,-0.2971000075340271
0,target,60,0.3162955641746521,-0.4725211560726166,-0.24810603260993958
0,target,61,0.10761367529630661,-0.33384865522384644,-0.5041906833648682
0,target,62,0.22097456455230713,-0.45821264386177063,-0.3927684724330902
0,target,63,0.2554372549057007,-0.43248650431632996,-0.4538894295692444
1,source,0,0.9050464630126953,0.5884177684783936,0.053907573223114014
1,source,1,0.9766218066215515,0.08784536272287369,-0.428844153881073
1,source,2,0.4228397607803345,-0.11886551976203918,-0.8224681615829468
1,source,3,0.8642720580101013,0.36844754219055176,-0.4722898602485657
1,source,4,0.8794635534286499,-0.16146200895309448,-0.005020856857299805
1,source,5,0.9911434650421143,-0.9404911994934082,0.839725136756897
1,source,6,0.8764474987983704,-0.7463233470916748,-0.011305928230285645
1,source,7,1.0482356548309326,-0.3712843358516693,0.601286768913269
1,source,8,0.8113954067230225,-0.68761146068573,0.3192870616912842
1,source,9,1.1348320245742798,0.4432072341442108,0.6736127138137817
1,source,10,1.1218796968460083,0.40017884969711304,0.7478072643280029
1,source,11,1.164959192276001,-0.04620164632797241,0.8545714616775513
1,source,12,1.1789500713348389,0.5608896017074585,0.9907000064849854
1,source,13,0.6157875657081604,0.2934828996658325,-0.02948993444442749
1,source,14,1.0169882774353027,0.0876249223947525,-0.11616373062133789
1,source,15,0.7490085363388062,0.0790981873869896,-0.4234227240085602
1,source,16,0.6638324856758118,0.12495166808366776,-0.3823780119419098
1,source,17,0.9511998891830444,-0.11520662903785706,0.40946197509765625
1,source,18,1.1885231733322144,-0.4642857015132904,0.30427634716033936
